job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Story,Writing,5ff8071b7f1d83003ff25bd3,False,2,1292220,Acting,Harris Wittels,Harris Wittels,0.98,,1132852,1,3
Director of Photography,Camera,5ff8514120af77003c15c1d0,False,2,1183644,Camera,Mark Schwartzbard,Mark Schwartzbard,0.828,,1132852,1,3
Director,Directing,56411c5bc3a3685bd9000461,False,2,132857,Acting,Eric Wareheim,Eric Wareheim,1.078,/x9STTsfrnC7SnuHuRczPFbGi6xp.jpg,1132856,1,4
Writer,Writing,56411c49c3a3685bdf000442,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,1132856,1,4
Writer,Writing,5ff8055e91f0ea003e931e9f,False,2,1020767,Writing,Alan Yang,Alan Yang,0.98,,1132856,1,4
Director of Photography,Camera,5ff8514120af77003c15c1d0,False,2,1183644,Camera,Mark Schwartzbard,Mark Schwartzbard,0.828,,1132856,1,4
Director,Directing,56411c5bc3a3685bd9000461,False,2,132857,Acting,Eric Wareheim,Eric Wareheim,1.078,/x9STTsfrnC7SnuHuRczPFbGi6xp.jpg,1132855,1,5
Writer,Writing,56411c49c3a3685bdf000442,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,1132855,1,5
Writer,Writing,56411c0092514128a9000401,False,2,1052684,Acting,Joe Mande,Joe Mande,1.553,/onIBAhW2omltRUOOK8LcYddWXwt.jpg,1132855,1,5
Director of Photography,Camera,5ff8514120af77003c15c1d0,False,2,1183644,Camera,Mark Schwartzbard,Mark Schwartzbard,0.828,,1132855,1,5
Writer,Writing,56411c49c3a3685bdf000442,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,1133010,1,6
Writer,Writing,5ff8055e91f0ea003e931e9f,False,2,1020767,Writing,Alan Yang,Alan Yang,0.98,,1133010,1,6
Director,Directing,5ff80640097c4900419a4d97,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,1133010,1,6
Director of Photography,Camera,5ff8514120af77003c15c1d0,False,2,1183644,Camera,Mark Schwartzbard,Mark Schwartzbard,0.828,,1133010,1,6
Director,Directing,5ff80746fdc4fa003fcd31c9,False,1,90492,Directing,Lynn Shelton,Lynn Shelton,1.155,/yDKuEeGPIYdPaYTvsrnIp7ORce8.jpg,1132857,1,7
Story,Writing,5ff8075cdd83fa003e6bbfb5,False,0,1237235,Writing,Andy Blitz,Andy Blitz,0.982,,1132857,1,7
Teleplay,Writing,5ff807a291f0ea004092f9a0,False,0,1903351,Production,Sarah Peters,Sarah Peters,0.6,,1132857,1,7
Teleplay,Writing,5ff807abefea7a003f6caa26,False,1,1256416,Acting,Zoe Jarman,Zoe Jarman,1.235,,1132857,1,7
Director of Photography,Camera,5ff8514120af77003c15c1d0,False,2,1183644,Camera,Mark Schwartzbard,Mark Schwartzbard,0.828,,1132857,1,7
Writer,Writing,56411c49c3a3685bdf000442,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,1132858,1,8
Writer,Writing,5ff8055e91f0ea003e931e9f,False,2,1020767,Writing,Alan Yang,Alan Yang,0.98,,1132858,1,8
Director,Directing,5ff80746fdc4fa003fcd31c9,False,1,90492,Directing,Lynn Shelton,Lynn Shelton,1.155,/yDKuEeGPIYdPaYTvsrnIp7ORce8.jpg,1132858,1,8
Director of Photography,Camera,5ff8514120af77003c15c1d0,False,2,1183644,Camera,Mark Schwartzbard,Mark Schwartzbard,0.828,,1132858,1,8
Director,Directing,56411c5bc3a3685bd9000461,False,2,132857,Acting,Eric Wareheim,Eric Wareheim,1.078,/x9STTsfrnC7SnuHuRczPFbGi6xp.jpg,1132854,1,9
Writer,Writing,56411c49c3a3685bdf000442,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,1132854,1,9
Writer,Writing,5ff8055e91f0ea003e931e9f,False,2,1020767,Writing,Alan Yang,Alan Yang,0.98,,1132854,1,9
Director of Photography,Camera,5ff8514120af77003c15c1d0,False,2,1183644,Camera,Mark Schwartzbard,Mark Schwartzbard,0.828,,1132854,1,9
Director,Directing,56411c5bc3a3685bd9000461,False,2,132857,Acting,Eric Wareheim,Eric Wareheim,1.078,/x9STTsfrnC7SnuHuRczPFbGi6xp.jpg,1133042,1,10
Writer,Writing,56411c49c3a3685bdf000442,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,1133042,1,10
Writer,Writing,5ff8055e91f0ea003e931e9f,False,2,1020767,Writing,Alan Yang,Alan Yang,0.98,,1133042,1,10
Director of Photography,Camera,5ff8514120af77003c15c1d0,False,2,1183644,Camera,Mark Schwartzbard,Mark Schwartzbard,0.828,,1133042,1,10
Director,Directing,5ff80640097c4900419a4d97,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,1288198,2,1
Teleplay,Writing,5ff80708dd83fa003d6bec19,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,1288198,2,1
Teleplay,Writing,5ff8070fefea7a003f6ca9d1,False,2,1020767,Writing,Alan Yang,Alan Yang,0.98,,1288198,2,1
