job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Writer,Writing,5526f9589251415785000286,False,2,1224760,Writing,Robert Carlock,Robert Carlock,1.162,,1279809,3,1
Writer,Writing,553a3ecbc3a3684022001441,False,2,1230181,Writing,Sam Means,Sam Means,0.98,,1279810,3,2
Director,Directing,5526f9a0c3a3687df3004af7,False,2,1220517,Directing,Tristram Shapeero,Tristram Shapeero,1.62,,1279810,3,2
Writer,Writing,5526f94bc3a36857ae002ad6,False,1,56323,Acting,Tina Fey,Tina Fey,5.14,/yPTAi1iucXf85UpiFPtyiTSM6do.jpg,1279810,3,2
Writer,Writing,553a3fc5925141275e003266,False,0,1230201,Writing,Allison Silverman,Allison Silverman,0.6,,1279811,3,3
Director,Directing,5e723ccf2f3b17001449eace,False,2,93419,Directing,Don Scardino,Don Scardino,1.05,/3yGJ8GcYZLURUweqmYhC77QyA1K.jpg,1279811,3,3
Writer,Writing,553a400692514138a90045a0,False,2,1526,Writing,Danny Rubin,Danny Rubin,0.6,,1279812,3,4
Director,Directing,5e7243b42f3b17001449fa50,False,1,1212755,Directing,Gail Mancuso,Gail Mancuso,1.309,/yacqdjB95BaD28ZW1zhy3yeBujm.jpg,1279812,3,4
Director,Directing,553a40bec3a3683c48000123,False,2,56325,Production,Jeff Richmond,Jeff Richmond,0.6,,1279813,3,5
Writer,Writing,5e70e43d2f3b170019485b62,False,0,1377192,Writing,Leila Strachan,Leila Strachan,0.6,,1279813,3,5
Writer,Writing,553a3ecbc3a3684022001441,False,2,1230181,Writing,Sam Means,Sam Means,0.98,,1279814,3,6
Director,Directing,5e723ccf2f3b17001449eace,False,2,93419,Directing,Don Scardino,Don Scardino,1.05,/3yGJ8GcYZLURUweqmYhC77QyA1K.jpg,1279814,3,6
Writer,Writing,5e72461df9aa470017d13187,False,0,2570140,Writing,Grace Edwards,Grace Edwards,0.6,,1279814,3,6
Writer,Writing,553a40e892514168740012e4,False,0,1458555,Writing,Lauren Gurganous,Lauren Gurganous,1.932,,1279815,3,7
Writer,Writing,553a406e9251413f5a003b95,False,1,1217212,Writing,Meredith Scardino,Meredith Scardino,0.6,,1279815,3,7
