job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Writer,Writing,5cc6363892514119e5f47e16,False,0,1304330,Acting,Gabe Liedman,Gabe Liedman,0.6,/g6Gy1mjXsAZx2YmyWCRuVGBCpbV.jpg,1110048,3,4
Writer,Writing,58464fe2c3a36844c000ab18,False,0,164565,Writing,David Phillips,David Phillips,0.6,,1131714,3,5
Director,Directing,5cc63e95c3a3684936827ddd,False,0,1347462,Directing,Michael McDonald,Michael McDonald,0.6,/yta7EXnjgdDlp5GCGKmR8VbdkHn.jpg,1131714,3,5
Writer,Writing,582fa957c3a3685b9a00249e,False,0,1237529,Writing,Andrew Guest,Andrew Guest,0.6,,1131715,3,6
Director,Directing,5b80b21e0e0a264586003d16,False,1,1214860,Directing,Linda Mendoza,Linda Mendoza,0.851,,1131715,3,6
Writer,Writing,5e9afaccfd6fa1002401dfe6,False,1,1215720,Writing,Laura McCreary,Laura McCreary,0.6,,1131716,3,7
Director,Directing,5e9b1285e22d28001b5fa5da,False,2,1290146,Directing,Dean Holland,Dean Holland,0.6,,1131716,3,7
Director,Directing,5ccede04925141044e2bcc3e,False,2,1220517,Directing,Tristram Shapeero,Tristram Shapeero,1.62,,1136866,3,8
Writer,Writing,5ecf21b621c4ca0020dd741f,False,2,1217071,Writing,Matt O'Brien,Matt O'Brien,0.6,,1136866,3,8
Director,Directing,5cd407b00e0a265e0960d445,False,2,1113994,Directing,Eric Appel,Eric Appel,0.6,,1136867,3,9
Writer,Writing,5ecf243b528b2e001e650aeb,False,2,1267201,Writing,Matt Murray,Matt Murray,0.84,,1136867,3,9
Director,Directing,5cd6a96a0e0a262e03cbbe8c,False,0,1320713,Directing,Rebecca Asher,Rebecca Asher,0.6,,1138484,3,10
Writer,Writing,5e9b13aa4a4bfc0023d4d755,False,0,2431449,Writing,Lakshmi Sundaram,Lakshmi Sundaram,0.6,,1138484,3,10
Writer,Writing,58084845c3a36874ca0037a5,False,0,1697003,Writing,Phil Augusta Jackson,Phil Augusta Jackson,0.6,/oFOK3hokORd6kA4CsvbQA9en6Wv.jpg,1152278,3,11
Director,Directing,5ece08afe4b576001f2a541c,False,2,213614,Directing,Max Winkler,Max Winkler,0.6,/m2muv3nWCJEGTFLGSiQKF22vG6a.jpg,1152278,3,11
Writer,Writing,5cc63ed89251412ba1fc7b72,False,0,2299451,Writing,Justin Noble,Justin Noble,0.6,,1152279,3,12
Director,Directing,5e9b1285e22d28001b5fa5da,False,2,1290146,Directing,Dean Holland,Dean Holland,0.6,,1152279,3,12
Writer,Writing,5846461fc3a36847f901ee2c,False,0,1718778,Writing,Tricia McAlpin,Tricia McAlpin,1.313,/7DOeNEgm6CzudterXEPlunXOEsg.jpg,1161355,3,13
Director,Directing,5ece0a8521c4ca0020db8247,False,2,65506,Directing,Michael Spiller,Michael Spiller,1.276,/qpK5EijOHIjGpFMSdHsEXOV8v53.jpg,1161355,3,13
Writer,Writing,5cc6363892514119e5f47e16,False,0,1304330,Acting,Gabe Liedman,Gabe Liedman,0.6,/g6Gy1mjXsAZx2YmyWCRuVGBCpbV.jpg,1161404,3,14
Director,Directing,5ece0a6c5c071b001c27156e,False,2,73499,Acting,Bruce McCulloch,Bruce McCulloch,1.157,/eVzci8ojDci3NpEoCBN2CNZSerA.jpg,1161404,3,14
Writer,Writing,5ecf2ef221c4ca0021dc8937,False,0,2657321,Writing,Alison Agosti,Alison Agosti,0.652,,1161404,3,14
Director,Directing,582fa94192514162cb0022d0,False,1,1239766,Directing,Nisha Ganatra,Nisha Ganatra,1.029,/6vfke1SDPxNfQGaRZIZVHxjr6G8.jpg,1161405,3,15
