department,job,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Directing,Director,5257308a760ee3776a3417cf,False,2,1215572,Directing,Randall Einhorn,Randall Einhorn,1.189,,170294,8,5
Directing,Director,525730a6760ee3776a343f3b,False,2,58868,Directing,Troy Miller,Troy Miller,1.48,,170295,8,6
Writing,Writer,52573093760ee3776a3426d7,False,2,1216625,Writing,Daniel Chun,Daniel Chun,1.4,/vEve4iO4pGsidxdjMdhoGL0BNWA.jpg,170295,8,6
Writing,Writer,525730a7760ee3776a34432c,False,0,1230201,Writing,Allison Silverman,Allison Silverman,0.6,,170313,8,7
Writing,Writer,525730a7760ee3776a3442e7,False,2,1216623,Writing,Dan Greaney,Dan Greaney,1.553,,170312,8,9
Writing,Writer,5257307d760ee3776a3401b0,False,1,125167,Acting,Mindy Kaling,Mindy Kaling,3.597,/xa8dwrTPaGc3PJ9GmT02ymJEX7l.jpg,170296,8,10
Directing,Director,52573090760ee3776a342209,False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,170297,8,11
Writing,Writer,525730a4760ee3776a343bba,False,0,1217228,Writing,Steve Hely,Steve Hely,0.6,,170297,8,11
Directing,Director,52573084760ee3776a340fa4,False,2,157771,Directing,Charles McDougall,Charles McDougall,1.4,/ty4SFTBrT7g2j9ywxuwCbpmKdND.jpg,170298,8,12
Writing,Writer,52573090760ee3776a3422c9,False,2,1229493,Writing,Aaron Shure,Aaron Shure,0.6,,170299,8,13
Writing,Writer,52573093760ee3776a3426d7,False,2,1216625,Writing,Daniel Chun,Daniel Chun,1.4,/vEve4iO4pGsidxdjMdhoGL0BNWA.jpg,170301,8,15
Writing,Writer,52573091760ee3776a3424b5,False,0,1225604,Writing,Warren Lieberstein,Warren Lieberstein,0.6,,170302,8,16
Writing,Writer,52573092760ee3776a3424e9,False,2,1230848,Writing,Halsted Sullivan,Halsted Sullivan,0.6,,170302,8,16
Writing,Writer,5257307d760ee3776a3401b0,False,1,125167,Acting,Mindy Kaling,Mindy Kaling,3.597,/xa8dwrTPaGc3PJ9GmT02ymJEX7l.jpg,170304,8,17
Writing,Writer,52573093760ee3776a3425fb,False,2,1226276,Writing,Charlie Grandy,Charlie Grandy,1.96,,170306,8,19
Directing,Director,52573093760ee3776a342599,False,2,11678,Acting,Rainn Wilson,Rainn Wilson,2.238,/lmy5NQsrTlbsyTrQw30gsKCZbWm.jpg,170306,8,19
Writing,Writer,525730a4760ee3776a343bba,False,0,1217228,Writing,Steve Hely,Steve Hely,0.6,,170305,8,20
Writing,Writer,5257308f760ee3776a341e7f,False,2,1230847,Writing,Justin Spitzer,Justin Spitzer,0.758,/7LiIHJLBv6Li1lmASD6mrigtKPo.jpg,170308,8,21
Writing,Writer,52573091760ee3776a3424b5,False,0,1225604,Writing,Warren Lieberstein,Warren Lieberstein,0.6,,170309,8,23
Writing,Writer,52573092760ee3776a3424e9,False,2,1230848,Writing,Halsted Sullivan,Halsted Sullivan,0.6,,170309,8,23
Writing,Writer,5257307f760ee3776a340702,False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,170310,8,24
Directing,Director,52573090760ee3776a342209,False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,170310,8,24
Directing,Director,5257307d760ee3776a34036d,False,2,1216630,Writing,Greg Daniels,Greg Daniels,1.4,/2Hi7Tw0fyYFOZex8BuGsHS8Q4KD.jpg,170315,9,1
Writing,Writer,5257307d760ee3776a340339,False,2,1216630,Writing,Greg Daniels,Greg Daniels,1.4,/2Hi7Tw0fyYFOZex8BuGsHS8Q4KD.jpg,170315,9,1
Writing,Writer,525730a7760ee3776a34432c,False,0,1230201,Writing,Allison Silverman,Allison Silverman,0.6,,170316,9,2
Writing,Writer,5257308b760ee3776a341959,False,2,1216619,Writing,Brent Forrester,Brent Forrester,1.021,,170318,9,4
Directing,Director,525730a8760ee3776a344422,False,2,17419,Acting,Bryan Cranston,Bryan Cranston,11.685,/7Jahy5LZX2Fo8fGJltMreAI49hC.jpg,170318,9,4
Writing,Writer,525730a8760ee3776a344479,False,2,1221087,Writing,Dan Sterling,Dan Sterling,0.6,,170319,9,6
Directing,Director,525730a8760ee3776a3444c0,False,2,50719,Directing,Rodman Flender,Rodman Flender,1.38,,170320,9,7
Directing,Director,52573084760ee3776a340fa4,False,2,157771,Directing,Charles McDougall,Charles McDougall,1.4,/ty4SFTBrT7g2j9ywxuwCbpmKdND.jpg,170322,9,9
Directing,Director,525730a8760ee3776a3444c0,False,2,50719,Directing,Rodman Flender,Rodman Flender,1.38,,170323,9,10
Writing,Writer,525730a7760ee3776a3442e7,False,2,1216623,Writing,Dan Greaney,Dan Greaney,1.553,,170325,9,11
Directing,Director,525730a8760ee3776a3445ed,False,2,15277,Acting,Jon Favreau,Jon Favreau,5.787,/8MtRRnEHaBSw8Ztdl8saXiw1egP.jpg,170329,9,16
Writing,Writer,52573080760ee3776a340878,False,2,1213125,Writing,Paul Lieberstein,Paul Lieberstein,2.841,/oLCaNVAw5cfE5q4e0PRsmHTuHfd.jpg,170328,9,17
Directing,Director,52573090760ee3776a342018,False,2,1213125,Writing,Paul Lieberstein,Paul Lieberstein,2.841,/oLCaNVAw5cfE5q4e0PRsmHTuHfd.jpg,170328,9,17
Directing,Director,52573090760ee3776a342286,False,1,1220649,Writing,Jennifer Celotta,Jennifer Celotta,0.84,,170333,9,18
Crew,Supervisor of Production Resources,54bfa6de92514148f000d099,False,2,1416512,Production,Owen Ellickson,Owen Ellickson,0.6,,170332,9,19
