job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Director,Directing,5b07d93ac3a3683da000559d,False,1,114597,Directing,Julie Anne Robinson,Julie Anne Robinson,0.6,,1407504,2,9
Writer,Writing,5ba6b618c3a3680e61015bed,False,2,1893791,Directing,Tyler Straessle,Tyler Straessle,0.6,/qE4TSbBoARi9oyFaOgQkQRV2PYq.jpg,1407504,2,9
Writer,Writing,587bd8de9251413eec01207b,False,0,1230225,Writing,Daniel Schofield,Daniel Schofield,0.6,,1417425,2,10
Writer,Writing,587bd914925141410100792d,False,1,1356008,Writing,Jen Statsky,Jen Statsky,0.6,,1417425,2,10
Director,Directing,5b07d9849251417270004855,False,2,1020767,Writing,Alan Yang,Alan Yang,0.98,,1417425,2,10
Director,Directing,587bd9009251413f4601206d,False,2,1290146,Directing,Dean Holland,Dean Holland,0.6,,1417426,2,11
Writer,Writing,587bd7f9c3a3684a4a013d30,False,2,1052684,Acting,Joe Mande,Joe Mande,1.553,/onIBAhW2omltRUOOK8LcYddWXwt.jpg,1417426,2,11
Writer,Writing,587bd881c3a36846c300f7c6,False,1,1355653,Writing,Megan Amram,Megan Amram,1.019,/yk9aErnVjuAUZ25j45i05UrWzp5.jpg,1417426,2,11
Writer,Writing,58855dcec3a3684f3a0211a6,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,1417427,2,12
Director,Directing,58855dff92514125b100047f,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,1417427,2,12
Director,Directing,587bd9009251413f4601206d,False,2,1290146,Directing,Dean Holland,Dean Holland,0.6,,1510891,3,1
Writer,Writing,587bd914925141410100792d,False,1,1356008,Writing,Jen Statsky,Jen Statsky,0.6,,1510891,3,1
Writer,Writing,58855dcec3a3684f3a0211a6,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,1510891,3,1
Writer,Writing,587bd8de9251413eec01207b,False,0,1230225,Writing,Daniel Schofield,Daniel Schofield,0.6,,1574791,3,2
Director,Directing,5b07d8d60e0a267b8a0043f4,False,1,1711826,Directing,Jude Weng,Jude Weng,1.166,/5z3euqstdxG10KzbrUNMCqKeUoS.jpg,1574791,3,2
Writer,Writing,587bd7f9c3a3684a4a013d30,False,2,1052684,Acting,Joe Mande,Joe Mande,1.553,/onIBAhW2omltRUOOK8LcYddWXwt.jpg,1586227,3,3
Director,Directing,587bd7a89251413eec011fe9,False,1,87673,Directing,Beth McCarthy-Miller,Beth McCarthy-Miller,1.4,/AdsQpucZeQSiZsP3UCQTq8kAdkR.jpg,1586227,3,3
Director,Directing,587bd89bc3a3684a6501310d,False,2,1539690,Directing,Trent O'Donnell,Trent O'Donnell,0.84,,1586228,3,4
Writer,Writing,587bd881c3a36846c300f7c6,False,1,1355653,Writing,Megan Amram,Megan Amram,1.019,/yk9aErnVjuAUZ25j45i05UrWzp5.jpg,1586228,3,4
Writer,Writing,587bd820c3a368426e005e89,False,2,1267201,Writing,Matt Murray,Matt Murray,0.84,,1590077,3,5
Director,Directing,5bd25ced0e0a2616cf0012d1,False,0,1320713,Directing,Rebecca Asher,Rebecca Asher,0.6,,1590077,3,5
Director,Directing,587bd7a89251413eec011fe9,False,1,87673,Directing,Beth McCarthy-Miller,Beth McCarthy-Miller,1.4,/AdsQpucZeQSiZsP3UCQTq8kAdkR.jpg,1591871,3,6
Writer,Writing,5bee28dc0e0a26266300d077,False,0,1703141,Acting,Kassia Miller,Kassia Miller,0.6,,1591871,3,6
Writer,Writing,5ba6b6650e0a2635f60165b5,False,0,1893777,Writing,Cord Jefferson,Cord Jefferson,0.6,,1593084,3,7
Director,Directing,5bee28b80e0a26266100c06c,False,1,1296522,Directing,Claire Scanlon,Claire Scanlon,1.22,/6B5tD7ivj7JoYUM5DCtxM4ZRoe9.jpg,1593084,3,7
Director of Photography,Camera,59c71172c3a3681430052cab,False,2,35488,Camera,David J. Miller,David J. Miller,0.766,,1593085,3,8
Director,Directing,587bd9009251413f4601206d,False,2,1290146,Directing,Dean Holland,Dean Holland,0.6,,1593085,3,8
Writer,Writing,587bd97fc3a368494c010f2d,False,2,1708292,Writing,Andrew Law,Andrew Law,0.608,/ambF0ZmnMhHxZAd7cNHFLwur8Tt.jpg,1593085,3,8
Editor,Editing,5fb3aae2c15f8900408a72e3,False,2,224530,Editing,Eric Kissack,Eric Kissack,1.052,,1593085,3,8
Director,Directing,587bd80ec3a36849ff011370,False,2,1241313,Production,Morgan Sackett,Morgan Sackett,1.03,,1593086,3,9
Writer,Writing,587bd85bc3a3684a650130e8,False,2,74356,Writing,Josh Siegal,Josh Siegal,1.38,/nArp3Xx33u9SXeftDx40GqDcQ33.jpg,1593086,3,9
Writer,Writing,587bd84ec3a36846c300f7b6,False,2,74357,Writing,Dylan Morgan,Dylan Morgan,0.677,,1593086,3,9
Creator,Crew,602720c73975610041ef1064,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,1593086,3,9
Writer,Writing,5ba6b6910e0a2635f3016f74,False,0,1087679,Acting,Kate Gersten,Kate Gersten,0.6,,1624957,3,10
